,index,source_id,hip,tycho2_id,solution_id,source_id_2,random_index,ref_epoch,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,ra_dec_corr,ra_parallax_corr,ra_pmra_corr,ra_pmdec_corr,dec_parallax_corr,dec_pmra_corr,dec_pmdec_corr,parallax_pmra_corr,parallax_pmdec_corr,pmra_pmdec_corr,astrometric_n_obs_al,astrometric_n_obs_ac,astrometric_n_good_obs_al,astrometric_n_good_obs_ac,astrometric_n_bad_obs_al,astrometric_n_bad_obs_ac,astrometric_delta_q,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_primary_flag,astrometric_relegation_factor,astrometric_weight_al,astrometric_weight_ac,astrometric_priors_used,matched_observations,duplicated_source,scan_direction_strength_k1,scan_direction_strength_k2,scan_direction_strength_k3,scan_direction_strength_k4,scan_direction_mean_k1,scan_direction_mean_k2,scan_direction_mean_k3,scan_direction_mean_k4,phot_g_n_obs,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_mag,phot_variable_flag,l,b,ecl_lon,ecl_lat
10,10.0,3.391728561185367e+18,,b'697-59-1',1.6353784107819336e+18,3.391728561185367e+18,652357.0,2015.0,75.40051556488665,0.5414780054871244,13.932918781664366,0.37035015246213565,23.224528909024862,0.2870892271449318,85.6648160855782,1.9866767513253407,-21.62137499290006,1.3498904460509977,-0.7654178,0.57463837,-0.9303174,0.77605045,-0.4893721,0.8338217,-0.88939345,-0.46460348,0.25395823,-0.9083856,62.0,62.0,62.0,62.0,0.0,0.0,,0.380368049294483,107.10165755764649,True,3.8197706,6.1428123,2.2007904e-05,5.0,7.0,False,0.42415804,0.324011,0.6176452,0.7185227,-73.55802,14.111049,-31.386036,43.06854,61.0,922707.1067152297,581.3901414232871,10.612110399910561,b'NOT_AVAILABLE',187.02236595800096,-16.76917100679329,75.66759031707898,-8.782928443105119
11,11.0,3.406216379227986e+18,,b'1271-879-1',1.6353784107819336e+18,3.406216379227986e+18,1687270.0,2015.0,70.8158234122362,0.5502200614971781,17.068994577842872,0.3603713306169204,24.168714543415618,0.7609197719383581,99.6992825512896,1.7109817540128178,-40.36482115581933,1.6325995537428124,-0.82884955,0.7976926,0.100501165,0.89630604,-0.7262906,0.024068372,-0.8470214,0.54702806,0.7773734,0.04775992,79.0,79.0,79.0,77.0,0.0,2.0,,0.7674580624451746,294.34554434792176,True,7.5051675,1.6351771,2.4019148e-05,5.0,9.0,False,0.40868032,0.30615625,0.4184018,0.6817453,-53.19499,10.661606,-38.181335,38.808483,78.0,2703868.7192328284,10060.578105126307,9.444806060068217,b'NOT_AVAILABLE',181.64068240026134,-18.515168285396214,71.61464441866654,-5.154224127725805
12,12.0,3.405988677241799e+18,,b'1280-58-1',1.6353784107819336e+18,3.405988677241799e+18,1220645.0,2015.0,72.50333779596959,1.4667070880291813,16.41194798803364,0.7421767350541238,20.574983863942514,0.29632910912374094,84.26684514634073,4.610696452607139,-26.90663920278427,2.6830115759650166,-0.9850621,0.7762285,-0.9906186,0.9828667,-0.78671,0.981649,-0.98399234,-0.75726235,0.7470455,-0.9908563,63.0,63.0,63.0,62.0,0.0,1.0,,0.3447773297189615,141.90744350598885,True,3.488023,7.2107153,2.6657952e-05,5.0,7.0,False,0.2131962,0.6115383,0.4261993,0.5858777,-57.29717,20.468916,-32.33647,38.68596,63.0,1497028.4086668617,2646.326760339411,10.086694959091474,b'NOT_AVAILABLE',183.21230594315165,-17.614785682011263,73.1424304354477,-6.009267935110057
13,13.0,3.4051272442411843e+18,,b'1280-681-1',1.6353784107819336e+18,3.4051272442411843e+18,767593.0,2015.0,72.21564302260198,0.29627960906653145,15.9474538928153,0.22669450010527092,16.636853074974958,0.22614330204840033,69.37344196711472,1.2714211728770417,-20.41428380184597,0.8542101228546171,-0.753364,0.3980465,-0.8572057,0.82793057,-0.6742177,0.7094813,-0.71615285,-0.23990597,0.24539362,-0.91883135,78.0,78.0,78.0,74.0,0.0,4.0,,0.2179149203825303,36.8648668721954,True,2.3368206,18.257975,1.9975616e-05,5.0,9.0,False,0.45886615,0.31057635,0.6561298,0.66970336,-85.05487,8.563633,-34.924038,38.52626,75.0,2826230.914548307,4444.328665055877,9.396750957375922,b'NOT_AVAILABLE',183.43354336757938,-18.11253654780215,72.8098858334598,-6.436830685007339
14,14.0,3.4106408827376353e+18,,b'1274-1204-1',1.6353784107819336e+18,3.4106408827376353e+18,43.0,2015.0,68.17100899561349,0.3467700549000485,19.113341691091566,0.2105502829474415,19.122532844475387,0.40997229352419445,90.62103420956359,0.8568477646101509,-33.22724084011726,0.7629539376007712,-0.751439,0.7068098,-0.15923098,0.80817395,-0.62831724,0.25536078,-0.7814123,0.33704495,0.87551725,0.21455082,112.0,112.0,111.0,111.0,1.0,1.0,,0.49417795625831634,459.66168474855414,True,4.892881,3.5595934,2.7421602e-05,5.0,13.0,True,0.3011429,0.54138803,0.3574639,0.20338425,-179.99266,-6.6617436,50.476974,-43.12833,114.0,1563887.9733634088,3749.527988216508,10.039255964237855,b'NOT_AVAILABLE',178.29951140098737,-19.224845196587857,69.40545206825617,-2.778847884279458
15,15.0,6.648234853064218e+16,18018.0,,1.6353784107819336e+18,6.648234853064218e+16,1783026.0,2015.0,57.76367460047049,0.2552518154441473,23.903450610370992,0.10667507912403391,24.550186597590898,0.28891738386217997,152.5272594919325,0.16954836218582028,-48.100618990922456,0.09466046554372641,0.00093076006,-0.29636437,-0.17583919,0.027797626,0.36342636,-0.070075594,-0.24979448,-0.16423659,-0.06251424,0.13860245,170.0,170.0,168.0,165.0,2.0,5.0,3.572193,0.5653394562031232,508.85251609563886,True,5.569808,2.9285522,2.6711228e-05,3.0,22.0,True,0.38679105,0.7072737,0.5446364,0.44055247,7.014328,-4.148708,1.8469759,6.234869,195.0,2126834.828748402,4471.575655441477,9.705435654726028,b'NOT_AVAILABLE',167.46912406581907,-23.0502309560463,60.74691871673454,3.678473874069827
16,16.0,3.312197930211159e+18,19862.0,,1.6353784107819336e+18,3.312197930211159e+18,350937.0,2015.0,63.89088811561303,0.27470132187871976,15.706170508849757,0.14167821753453044,22.14388045837812,0.30277513296942554,120.51436501190729,0.19493035431601868,-23.19929018541618,0.143423488744783,0.0223165,-0.4907608,-0.11785755,0.09180983,-0.11768357,0.12657297,-0.1557088,0.08715188,0.14773908,0.2325953,79.0,79.0,79.0,77.0,0.0,2.0,0.32000396,0.5238227332912969,237.27245496728975,True,5.1744685,3.1849935,2.0024107e-05,3.0,11.0,True,0.0841271,0.48700982,0.29447836,0.29996455,134.62383,0.031110292,-2.7075138,38.707024,96.0,1207555.7756397626,674.2901808744529,10.320002065192334,b'NOT_AVAILABLE',178.29806098073007,-24.542850811524776,64.81168191777635,-5.479194440358808
17,17.0,3.3114927996600643e+18,19834.0,,1.6353784107819336e+18,3.3114927996600643e+18,1844536.0,2015.0,63.7938615374625,0.22736005007878585,14.398379033792155,0.16389242533339216,20.968097770494637,0.2340781544267648,114.40556163156927,0.2971789066008812,-18.31521070719463,0.2224495438188596,0.16515431,0.15055463,-0.4893034,-0.15398015,-0.14463499,-0.08032635,-0.5414571,-0.30994162,-0.102588825,0.15972242,108.0,108.0,107.0,107.0,1.0,1.0,1.7573181,0.39471572604376176,246.92682516189203,True,3.9541466,5.6918783,2.6005198e-05,3.0,16.0,False,0.07635967,0.39647877,0.049480785,0.34763202,-105.97653,-9.7171335,-40.22817,33.961845,122.0,774860.4972269505,449.2581342737978,10.801711261568258,b'NOT_AVAILABLE',179.33225506858452,-25.45970575698293,64.48695330894482,-6.7499617155727485
18,18.0,3.312564033223631e+18,21138.0,,1.6353784107819336e+18,3.312564033223631e+18,617020.0,2015.0,67.9690893486698,0.2372179562955497,15.499380300810547,0.13753340420366303,22.02404651217744,0.24951102803317224,105.21368454475241,0.3368407598034686,-24.268358131781852,0.16606379812876143,-0.21505152,0.073060594,-0.31876925,0.13824344,-0.42938545,0.14504223,-0.3926132,-0.080331914,0.07133426,-0.063421,131.0,131.0,131.0,128.0,0.0,3.0,2.1289623,0.4580569487813987,216.87894121789287,True,4.5507464,4.3023934,2.6011961e-05,3.0,15.0,False,0.3876207,0.6074384,0.34056687,0.065690875,-158.63594,5.8162894,-52.100773,36.284367,127.0,1141333.0024631931,691.5882354651612,10.3812391253796,b'NOT_AVAILABLE',181.17954955203618,-21.636415401722275,68.67375646023433,-6.323707555314397
19,19.0,4.353828963888806e+16,18327.0,,1.6353784107819336e+18,4.353828963888806e+16,1013905.0,2015.0,58.777732332797164,0.23172238253764002,16.998375793811284,0.08965709248680745,24.63588124509972,0.23024892356266516,147.59136783151428,0.12232543178846364,-24.4904208697469,0.06840084614135171,-0.06969389,-0.34719282,-0.05178812,-0.02183859,0.026293509,-0.022308541,-0.09208565,-0.06696564,0.00064441166,0.13330379,237.0,237.0,236.0,229.0,1.0,8.0,0.3577299,0.43166437201374186,336.56613402009816,True,4.3015676,5.0693936,2.3473869e-05,3.0,30.0,False,0.41227943,0.69423974,0.49628133,0.31434512,-9.319798,1.2132877,-6.0795274,9.111776,253.0,5499990.077464638,8238.382283809671,8.673865298880493,b'NOT_AVAILABLE',173.56851479737767,-27.309524992350433,60.22975547772011,-3.2723643831503813
