designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 3289809060267929856,73.487933,9.266323,24.977158,95.815439,-5.860199,,3.095,14.495,True,,True,0.9926,cl
Gaia DR2 3289865341519273088,72.988999,9.281362,24.219912,98.854814,-8.807931,,3.271,15.242,True,,True,0.9969,cl
Gaia DR2 3295209414705918080,75.407259,12.416317,19.433425,71.981087,-15.940239,,1.909,10.891,True,,True,0.9980,cl
Gaia DR2 3300725905060807936,65.625632,10.434598,20.879693,108.037296,-5.908809,39.462,2.072,11.838,True,True,True,0.9991,cl
Gaia DR2 3314597408180024960,66.997160,18.758954,19.039817,94.620347,-27.963988,,2.707,12.959,True,,True,0.9955,cl
Gaia DR2 3314581984953794816,67.254737,18.673545,23.136755,113.615595,-35.994927,,2.398,12.274,True,,True,0.9981,cl
Gaia DR2 3291734202048545792,76.475694,10.580749,23.362687,79.555849,-11.381762,,2.724,13.821,True,,True,0.9961,cl
Gaia DR2 3300059394856687488,63.950846,8.966107,24.771801,131.850031,-3.002886,,2.822,13.624,True,,True,0.9975,cl
Gaia DR2 43538293935879680,58.777754,16.998372,24.399475,147.818348,-24.483924,36.403,1.069,8.735,True,True,True,0.9986,cl
Gaia DR2 43615122310787840,58.292507,17.326959,23.089685,143.789942,-29.560187,,0.476,5.868,True,,True,0.9712,cl
Gaia DR2 43789772861265792,57.604602,17.246412,20.956882,127.457776,-22.477412,,1.087,9.200,True,,True,0.9888,cl
Gaia DR2 3405082374719674240,72.248687,15.604739,20.816994,90.051956,-22.678879,,3.114,14.182,True,,,0.9015,cl
Gaia DR2 3405113740864365440,72.384242,15.888633,20.586951,86.730390,-25.497716,41.368,0.737,7.583,True,True,True,0.9992,cl
Gaia DR2 3409550652537334656,70.118312,18.087605,25.500263,113.173487,-40.977644,,2.928,13.679,True,,True,0.9980,cl
Gaia DR2 3409480318150949248,71.182760,18.408084,21.086889,94.201634,-33.289076,,2.985,13.646,True,,,0.9865,cl
Gaia DR2 3409548556593300480,69.937858,18.094697,22.580500,102.901027,-34.270312,,3.614,16.227,True,,True,0.9970,cl
