designation,ra,dec,parallax,pmra,pmdec,radial_velocity,bp_rp,phot_g_mean_mag,in_dr2,in_meingast,in_roser,mean_pmem,fit_group
Gaia DR2 3306849703791332864,65.998314,11.382998,17.187048,87.525580,-7.689094,,2.689,13.940,True,,True,0.9997,tails
Gaia DR2 3309513270709857920,68.588000,14.854704,16.428412,73.683318,-14.547336,,3.478,16.065,True,,,0.9970,tails
Gaia DR2 36629890579758592,58.143841,11.260750,28.598377,176.685800,-8.666746,,2.573,12.626,True,,True,0.9997,tails
Gaia DR2 119219294181874048,50.632702,28.974549,20.863434,148.099065,-45.148310,,2.869,13.858,True,,True,0.9997,tails
Gaia DR2 154422804645274368,72.492016,27.209908,24.174269,99.838159,-73.781342,,2.927,14.126,True,,True,0.9997,tails
Gaia DR2 149313099234711680,65.877108,24.405225,18.180583,92.975415,-42.840754,39.160,0.614,7.050,True,True,True,1.0000,tails
Gaia DR2 169163647804297216,62.433072,31.929913,23.618879,131.306188,-77.060894,,4.124,17.395,True,,True,0.9997,tails
Gaia DR2 3338650225766660992,79.066279,9.446580,18.541039,58.903411,-7.029257,,2.777,14.274,True,,True,0.9997,tails
Gaia DR2 147710938992084096,69.226303,24.498733,17.491365,80.077933,-41.390276,,3.134,15.709,True,,True,0.9993,tails
Gaia DR2 3284773915487855488,62.835149,5.523081,26.663599,147.852212,6.822214,,0.482,5.607,True,,True,0.9985,tails
Gaia DR2 3239389683266590208,75.204007,4.733155,19.206843,72.567183,9.990153,43.193,1.104,9.446,True,True,True,1.0000,tails
Gaia DR2 3392628893706422272,74.096103,14.101021,16.731361,64.822759,-18.555198,,3.358,16.460,True,,True,0.9996,tails
Gaia DR2 56447041481918720,54.389714,17.853912,25.789156,170.556235,-30.152095,,2.347,11.696,True,,True,0.9993,tails
Gaia DR2 56447037184877824,54.392027,17.850002,25.634981,170.452121,-27.922585,,2.717,12.093,True,,True,0.9997,tails
Gaia DR2 218783542413339648,58.000526,34.124172,23.558421,145.992577,-77.695168,,-0.104,15.202,True,,True,0.9997,tails
Gaia DR2 3313630082762446208,66.053668,16.378836,17.293043,89.544530,-22.213384,39.459,0.757,8.068,True,True,True,1.0000,tails
Gaia DR2 71487329756936320,54.783571,28.382074,18.277506,121.824297,-42.850027,31.342,1.378,10.352,True,True,True,1.0000,tails
Gaia DR2 3277579398589199616,54.530543,6.573861,27.181624,176.430420,6.978354,,3.438,15.320,True,,True,0.9989,tails
Gaia DR2 163804078373452288,60.415169,28.316722,20.190480,117.046200,-51.613521,,3.977,17.362,True,,True,0.9996,tails
Gaia DR2 3392446821452424192,74.456583,14.002112,18.313658,69.825880,-18.010885,42.414,0.898,8.700,True,True,True,1.0000,tails
Gaia DR2 3392423078873226112,74.365130,13.945141,18.262298,69.903207,-17.950307,,2.977,15.016,True,,True,0.9998,tails
Gaia DR2 3392438678194466560,74.053089,13.984323,16.330488,64.995205,-11.699121,,2.749,13.566,True,,,0.8202,tails
Gaia DR2 3392422013721349632,74.253120,13.912268,17.713640,68.174224,-18.426019,42.792,1.421,10.487,True,True,True,1.0000,tails
Gaia DR2 3392122637320609536,76.896014,14.653817,18.684397,66.791755,-19.817210,,2.675,13.537,True,,True,0.9976,tails
Gaia DR2 3402351561497574016,81.362748,21.068650,18.207239,49.009144,-42.858197,44.085,2.052,12.087,True,True,True,1.0000,tails
Gaia DR2 3394444084324433792,79.423406,17.452362,18.271256,56.254197,-29.478485,,2.609,13.552,True,,True,0.9996,tails
Gaia DR2 3338847893045082880,80.165534,10.569637,18.434312,50.796912,-9.719424,,3.545,15.952,True,,True,0.9990,tails
Gaia DR2 3410466133406341504,69.128723,19.090894,15.818209,72.893023,-23.221715,,,14.411,True,,,0.9949,tails
Gaia DR2 145916050683920128,67.412861,22.882567,16.849679,82.874210,-35.617093,39.485,1.499,10.855,True,True,True,1.0000,tails
Gaia DR2 44388010264995200,55.191643,17.579829,23.805453,159.754842,-25.981459,,3.661,16.269,True,,True,0.9992,tails
Gaia DR2 3413860050920329344,78.598950,20.531537,19.409324,60.583267,-44.184917,,,15.131,True,,,0.9994,tails
Gaia DR2 3413860050922284672,78.598666,20.531206,19.884566,58.370267,-40.928177,,3.253,15.022,True,,,0.9960,tails
Gaia DR2 69023083679564672,51.707262,24.658604,23.802379,161.788722,-42.942747,,3.822,18.751,True,,,0.9992,tails
Gaia DR2 47881811540636800,65.986571,18.638799,16.829110,88.871123,-26.684312,,3.050,15.481,True,,True,0.9994,tails
Gaia DR2 48000730595736960,66.986911,19.060700,16.948127,82.563578,-27.228486,40.339,1.490,10.797,True,True,True,0.9999,tails
Gaia DR2 47917511308704128,66.424690,19.013101,16.119660,83.804391,-25.824049,,2.499,13.705,True,,True,0.9995,tails
Gaia DR2 66556672943906432,57.431031,24.317715,24.110708,152.162233,-46.575533,,2.875,12.851,True,,True,0.9995,tails
Gaia DR2 168422783123428352,58.828178,30.894767,22.754035,140.007431,-66.352673,,3.221,15.374,True,,True,0.9996,tails
Gaia DR2 3414200143611145216,79.223334,21.393599,19.136851,57.368903,-44.391657,,3.268,15.931,True,,True,0.9997,tails
Gaia DR2 3414200139316713600,79.223979,21.394461,19.160326,59.409430,-44.855954,,2.691,13.972,True,,True,0.9997,tails
Gaia DR2 50756415973201152,57.273066,18.837727,16.571434,106.157312,-23.064642,,2.788,14.269,True,,True,0.9990,tails
Gaia DR2 3300315443626615040,62.456297,9.305468,27.768703,154.862262,-5.594663,38.144,1.439,9.629,True,True,True,1.0000,tails
Gaia DR2 3405127244241184256,72.215653,15.947451,16.328222,69.112240,-20.486518,41.590,1.014,9.469,True,True,True,1.0000,tails
Gaia DR2 3277175602945236608,57.893279,7.373053,27.638545,173.376993,3.322937,,3.230,15.056,True,,True,0.9993,tails
Gaia DR2 3277175602945236352,57.894413,7.373644,27.580290,172.274084,3.046195,,2.845,13.734,True,,True,0.9993,tails
Gaia DR2 3277270538903180160,57.050193,7.146272,27.375048,175.595859,6.496385,34.984,1.683,10.240,True,True,True,1.0000,tails
Gaia DR2 3408463510414294784,73.743460,19.485262,15.918422,63.181885,-29.159659,,0.407,6.274,True,,True,0.9997,tails
Gaia DR2 3397032128539658368,84.265758,17.040183,19.013747,42.851297,-33.781677,,0.320,5.468,True,,True,0.9997,tails
Gaia DR2 70298895126196864,55.898790,26.358407,26.742272,173.110292,-58.949440,,2.985,13.861,True,,True,0.9997,tails
Gaia DR2 164216120356193664,61.368446,28.929165,19.039828,107.616520,-55.277497,,3.116,15.359,True,,True,0.9985,tails
Gaia DR2 3291151392166490496,75.165754,9.126090,17.618529,66.116137,-4.120581,,3.550,16.625,True,,True,0.9998,tails
Gaia DR2 3408679804966891264,75.776594,19.678632,16.763835,60.616239,-33.340796,,3.212,15.891,True,,True,0.9997,tails
Gaia DR2 151319978535712896,67.571400,26.373745,18.164586,86.855227,-50.137640,,3.070,14.972,True,,True,0.9995,tails
Gaia DR2 151379150300399360,67.378590,26.671340,17.156238,82.806991,-48.284710,39.002,0.930,8.986,True,True,True,0.9999,tails
Gaia DR2 3227869206588911616,77.510111,0.576408,23.241571,75.821487,24.721862,,4.024,18.381,True,,,0.9997,tails
Gaia DR2 146698078328904064,70.024702,23.304380,16.658490,75.683635,-38.355058,39.860,0.964,9.173,True,True,True,1.0000,tails
Gaia DR2 168774798644094592,59.138548,31.956615,20.617359,123.151552,-65.024022,,2.730,12.733,True,,True,0.9993,tails
Gaia DR2 3391658329880811776,75.701896,13.632642,18.043064,66.145167,-17.437044,,3.409,16.193,True,,True,0.9998,tails
Gaia DR2 3391712038447198080,75.782201,13.730592,18.599889,66.202078,-18.016244,42.371,0.927,8.786,True,True,True,1.0000,tails
Gaia DR2 3388509470313327104,78.720861,12.888458,20.146374,62.784819,-20.178112,,3.330,16.038,True,,True,0.9997,tails
Gaia DR2 3408234502757515648,74.593001,19.317025,16.873564,64.032135,-30.268824,,3.214,15.949,True,,True,0.9996,tails
Gaia DR2 3289363105224130944,73.703859,7.738878,25.488687,98.903316,-0.540199,,2.780,13.451,True,,True,0.9998,tails
Gaia DR2 3302846072717868416,58.842374,9.788347,28.588956,173.272185,-5.509866,,-0.134,14.564,True,,True,0.9996,tails
Gaia DR2 42716408993806080,53.144340,16.153264,20.533852,141.082307,-14.692246,32.813,2.744,12.981,True,True,True,0.9999,tails
Gaia DR2 51902691204229888,61.764317,20.280605,30.105011,169.645578,-46.234138,,3.197,14.685,True,,True,0.9994,tails
Gaia DR2 3419526585958441216,75.162590,24.382623,17.686034,64.465005,-45.770921,,3.478,16.565,True,,True,0.9996,tails
Gaia DR2 11037726649058432,50.122632,8.454477,31.474888,226.323661,6.177788,31.079,1.382,9.208,,True,True,1.0000,tails
Gaia DR2 117654650480415744,50.618318,27.155776,31.500771,220.953260,-64.374605,30.001,1.834,10.347,,True,True,1.0000,tails
Gaia DR2 129070265532645888,44.445398,29.661269,24.076628,187.476892,-45.132715,26.189,1.034,8.672,,True,True,1.0000,tails
Gaia DR2 8479094371605632,45.013142,7.749846,42.035880,327.902809,21.242364,28.637,1.107,7.708,,True,True,0.9999,tails
Gaia DR2 1920109904713761536,352.953388,39.211378,25.993290,243.901753,61.337923,-4.981,2.194,11.749,,True,True,0.9999,tails
Gaia DR2 1936294269198320896,345.027324,46.285442,13.432034,115.874451,45.431101,-8.508,1.206,10.560,,True,True,1.0000,tails
Gaia DR2 1921178320776903168,356.396685,40.443629,14.657511,135.765901,29.329568,-3.369,0.807,8.648,,True,True,1.0000,tails
Gaia DR2 2003191889537868032,339.605262,54.126289,9.317586,75.535199,38.343543,-8.574,1.243,11.415,,True,True,1.0000,tails
Gaia DR2 1938634064303146496,351.873902,46.892498,14.151254,127.475107,35.043630,-5.089,1.691,11.764,,True,True,0.9999,tails
Gaia DR2 1988163798968743424,337.524146,49.778361,9.202987,72.651458,38.663512,-9.739,2.040,13.534,,True,True,0.9999,tails
Gaia DR2 2006866663560075776,338.419985,56.624916,9.376814,78.378872,41.615091,-8.265,1.115,5.444,,True,True,0.9999,tails
Gaia DR2 1990437825230931584,342.952247,53.191702,10.092794,84.758883,37.914296,-9.676,0.556,7.947,,True,True,0.9998,tails
Gaia DR2 1991383748821648768,351.551375,51.195907,22.974171,207.595015,61.874157,-3.584,2.407,12.619,,True,True,1.0000,tails
Gaia DR2 2011704136754297984,355.870092,59.804815,14.468464,132.616491,29.739337,-0.823,1.521,11.231,,True,,0.9999,tails
Gaia DR2 1943016133537388800,353.190438,50.295881,15.535137,140.564858,38.696654,-3.365,0.857,8.749,,True,True,1.0000,tails
Gaia DR2 398125914810267904,20.438083,46.206116,17.323293,160.990728,-13.273527,10.490,1.186,9.974,,True,True,1.0000,tails
Gaia DR2 398400277321218944,19.248925,46.889791,17.021163,159.009136,-12.367541,10.071,1.672,11.271,,True,True,0.9999,tails
Gaia DR2 306637167168935168,16.136723,26.120232,33.426255,315.461454,13.486934,7.447,1.548,9.517,,True,True,0.9999,tails
Gaia DR2 426772075364533504,12.511907,59.703248,14.756671,137.747097,-5.087824,5.710,0.939,9.348,,True,,0.9997,tails
Gaia DR2 367239086996534400,12.219834,37.091148,20.384233,188.593164,9.786847,5.713,1.980,11.628,,True,True,0.9999,tails
Gaia DR2 293605068161883776,20.374025,24.330608,37.002332,340.389089,9.237650,10.834,1.834,10.024,,True,True,0.9999,tails
Gaia DR2 399476385670417152,23.663711,48.292127,17.813233,164.507153,-21.578637,13.359,2.308,12.785,,True,True,0.9999,tails
Gaia DR2 356805237047259648,30.791225,48.620186,22.147210,195.762856,-47.270665,16.838,0.769,7.574,,True,True,0.9999,tails
Gaia DR2 288861019085346816,24.165892,21.563112,28.710602,261.971701,0.765866,14.069,1.218,8.926,,True,True,1.0000,tails
Gaia DR2 355424490960702208,36.302014,49.793688,19.808406,167.725853,-54.027726,19.585,1.566,10.695,,True,True,0.9998,tails
Gaia DR2 327741674389296128,34.728654,35.218080,22.936742,194.612108,-35.335869,19.388,1.874,11.110,,True,True,0.9999,tails
Gaia DR2 469486109244322176,63.886551,58.521339,35.727501,184.695410,-217.273848,23.643,1.196,8.393,,True,,0.9999,tails
Gaia DR2 242184757623983872,49.625994,44.536588,22.317388,158.028560,-82.704188,24.175,1.971,11.497,,True,True,0.9999,tails
Gaia DR2 98753362698701184,28.337454,23.444750,24.069329,217.245451,-5.140835,17.179,2.125,11.656,,True,True,1.0000,tails
Gaia DR2 100254161710940928,32.847715,21.377288,31.750135,273.780188,-13.040000,20.094,0.838,7.152,,True,True,1.0000,tails
Gaia DR2 140340019198296320,44.172964,35.375999,25.934547,201.122674,-63.247144,24.704,2.469,12.512,,True,True,1.0000,tails
Gaia DR2 221991882981235072,53.167013,35.659033,19.223988,131.104239,-59.827352,29.546,0.652,7.165,,True,True,1.0000,tails
Gaia DR2 108421608959951488,44.522832,20.668598,30.623709,233.961531,-31.293946,28.131,0.559,5.680,,True,True,1.0000,tails
Gaia DR2 125343573948444800,48.262586,32.896182,25.324298,184.507828,-61.934054,26.845,0.891,7.969,,True,True,0.9999,tails
Gaia DR2 170457601190857728,60.281904,33.195801,23.213628,128.334141,-76.033478,33.170,1.184,9.476,,True,True,0.9982,tails
Gaia DR2 29720761371785216,47.681558,13.643194,20.976083,155.658552,-6.377067,30.601,2.362,12.563,,True,True,1.0000,tails
Gaia DR2 50756411675761920,57.275650,18.836564,16.371369,104.472332,-20.900127,34.282,1.979,12.181,,True,True,1.0000,tails
Gaia DR2 3407612488414335616,76.897278,18.692618,14.538931,51.046593,-26.281738,42.878,1.433,10.964,,True,True,1.0000,tails
Gaia DR2 3415184653196381184,77.055818,21.990085,15.934656,54.473769,-38.989569,42.139,1.906,12.059,,True,True,1.0000,tails
Gaia DR2 3388382060107608832,77.262996,12.964090,24.926663,74.681241,-20.937053,43.374,1.102,9.039,,True,True,0.9930,tails
Gaia DR2 3396115651237421312,83.734601,16.021437,13.040951,30.753027,-18.593113,45.226,1.317,10.913,,True,True,1.0000,tails
Gaia DR2 3406980028710351744,75.929099,17.153633,15.158364,54.271585,-23.131841,41.904,2.107,12.709,,True,True,1.0000,tails
Gaia DR2 3240642989082655232,77.981355,5.716094,14.309658,48.222657,5.335950,44.699,1.154,10.227,,True,True,1.0000,tails
Gaia DR2 3336095678002851456,85.889594,8.929704,18.467081,35.349071,-5.544632,46.503,2.017,12.052,,True,True,1.0000,tails
Gaia DR2 3339182389394565760,81.437446,10.734090,14.969148,40.488841,-6.970432,43.937,2.172,12.838,,True,True,0.9999,tails
Gaia DR2 3339344704798578944,81.796292,11.525813,15.941505,40.866505,-5.413978,46.524,0.746,8.365,,True,,0.3055,tails
Gaia DR2 3337480688992285952,80.727061,8.201117,12.788425,36.983906,-1.942352,45.788,1.098,10.281,,True,True,1.0000,tails
Gaia DR2 3329919171435509120,93.135534,10.475423,11.919309,11.860837,-9.614756,47.691,0.867,9.575,,True,True,0.9976,tails
Gaia DR2 3220356793391858560,80.793776,-1.697627,21.755288,60.398860,32.631691,43.814,2.022,11.714,,True,True,1.0000,tails
Gaia DR2 3122263962301803904,92.256602,-0.467004,10.144356,9.172212,13.102944,47.841,1.645,12.317,,True,True,1.0000,tails
Gaia DR2 3210444215030339584,80.066927,-4.239248,22.716003,64.289504,43.812485,45.982,2.380,12.555,,True,True,0.9999,tails
Gaia DR2 3175952638346424832,65.044899,-14.760575,34.104245,177.414331,114.363101,36.732,1.494,9.309,,True,True,1.0000,tails
Gaia DR2 3224052178957682816,84.813207,2.805676,12.660068,26.906596,9.270124,47.149,1.766,12.203,,True,True,1.0000,tails
Gaia DR2 3121107276069392000,92.858580,-1.584907,11.912424,9.619703,18.071542,46.806,1.677,12.065,,True,True,1.0000,tails
Gaia DR2 3328617079087341440,92.809483,8.938378,12.806666,9.355786,-4.425831,47.119,1.358,11.078,,True,True,1.0000,tails
Gaia DR2 3025295321725752576,88.670127,-3.482185,14.594402,23.887508,28.915147,46.111,0.673,7.995,,True,True,0.9998,tails
Gaia DR2 3023789025155718656,88.425441,-3.702335,9.370974,15.488193,18.060990,47.816,1.916,13.265,,True,,1.0000,tails
Gaia DR2 3180473452202805632,73.633565,-11.913660,28.175181,109.766158,88.063423,41.201,1.271,9.141,,True,True,1.0000,tails
Gaia DR2 3005365436521545856,90.955452,-9.543979,15.860210,17.373787,44.067621,44.176,1.499,11.012,,True,True,1.0000,tails
Gaia DR2 3024891594801681536,92.061770,-2.683214,12.578622,11.396574,20.810698,45.945,1.018,9.996,,True,True,1.0000,tails
Gaia DR2 2998766575752095488,88.297152,-11.604533,13.052103,21.944581,42.061701,44.409,0.695,8.346,,True,True,1.0000,tails
Gaia DR2 2998941402398201984,89.920401,-11.332466,16.387070,19.810923,50.442225,44.588,2.365,13.169,,True,True,1.0000,tails
Gaia DR2 3007876270106126976,95.640474,-6.636227,10.506665,3.156871,25.030740,46.465,1.494,11.903,,True,True,1.0000,tails
Gaia DR2 2967093257823975040,85.523970,-19.283054,15.419824,30.876015,67.845303,41.838,1.903,12.093,,True,True,1.0000,tails
Gaia DR2 2946050323261707648,102.643091,-17.197212,8.497814,-8.182325,35.778319,44.615,0.853,10.112,,True,,1.0000,tails
Gaia DR2 2933951366029742720,103.248694,-17.726353,10.110510,-11.968155,42.462430,44.692,1.705,12.520,,True,,0.9998,tails
Gaia DR2 2939096255807760640,98.001141,-20.268281,13.263620,-1.877134,61.788275,42.079,1.345,10.955,,True,True,1.0000,tails
Gaia DR2 2918480992605879424,101.912500,-29.095450,12.507890,-10.535396,75.205852,39.253,1.753,12.175,,True,True,1.0000,tails
Gaia DR2 2933283240917256448,101.852797,-19.616107,9.323162,-7.792458,42.469674,43.686,1.557,12.278,,True,,1.0000,tails
Gaia DR2 5591592290299368832,111.347270,-34.202123,12.986971,-32.547197,85.195699,35.803,1.879,12.392,,True,True,1.0000,tails
Gaia DR2 5591975057783029760,115.140243,-32.667253,13.625124,-39.116291,85.538422,36.886,1.807,12.072,,True,,0.7701,tails
Gaia DR2 5583131655700163456,101.597941,-32.974948,9.593716,-7.419625,65.531703,36.406,1.119,10.958,,True,,1.0000,tails
Gaia DR2 5606274142084651392,107.562997,-29.497836,10.709770,-19.908824,64.458909,38.487,1.766,12.498,,True,,1.0000,tails
Gaia DR2 5196433038252282368,122.934237,-80.989638,10.634129,-49.316604,96.762556,-1.040,1.190,11.007,,True,,0.9995,tails
Gaia DR2 5768299167684904960,230.194852,-84.315498,15.806753,-111.282068,-109.073410,-9.676,1.470,10.903,,True,,0.9951,tails
Gaia DR2 6413212563293453824,272.445935,-77.444292,19.958364,-11.416714,-187.097822,-16.250,2.063,11.968,,True,,0.9998,tails
Gaia DR2 2724890053318383232,329.360935,8.137632,47.777401,373.750441,100.163736,-26.870,2.186,10.127,,True,True,0.9999,tails
Gaia DR2 2609889349030557696,343.355821,-9.092733,28.281007,248.867263,13.334101,-17.435,1.358,9.253,,True,,0.9995,tails
Gaia DR2 2736885652163348864,337.814684,17.162664,25.331464,204.879819,66.967203,-18.580,2.347,12.131,,True,True,0.9989,tails
Gaia DR2 1900396692021208448,331.764575,34.521728,15.756591,118.546156,63.169714,-20.268,0.574,7.116,,True,True,0.9997,tails
Gaia DR2 2836968977254848384,343.629743,23.518788,30.121757,257.624113,73.986741,-14.402,1.832,10.429,,True,True,0.9999,tails
Gaia DR2 1975500929709698560,332.577594,47.590222,11.351950,85.812871,52.292326,-11.615,2.016,13.050,,True,True,0.9998,tails
Gaia DR2 1979047610626921088,325.779584,50.280952,9.703967,66.911643,51.829435,-14.401,1.689,12.558,,True,True,0.9999,tails
Gaia DR2 1983234928851689984,337.551165,46.024377,13.261440,106.791171,54.236414,-12.591,1.147,10.307,,True,True,1.0000,tails
Gaia DR2 1983205791793448576,337.478689,45.587718,11.763200,94.572882,45.745905,-12.210,0.895,9.536,,True,True,0.9997,tails
Gaia DR2 1987549859159314432,335.352198,48.066169,9.447619,74.809861,42.098824,-12.882,0.745,9.200,,True,True,0.9999,tails
Gaia DR2 1986459933897072000,335.505036,46.572694,8.920478,68.982491,38.303027,-13.589,0.799,9.721,,True,True,1.0000,tails
Gaia DR2 2738415592529108096,0.527902,1.260304,48.053852,463.375528,61.405932,,4.645,16.337,,,True,0.9995,tails
Gaia DR2 395696646953688448,0.653099,51.945344,16.715442,156.530471,26.053458,0.682,1.443,10.781,,,True,1.0000,tails
Gaia DR2 431526153186969856,1.470193,63.153394,15.387805,143.745189,19.305022,2.416,1.894,12.037,,,True,0.9999,tails
Gaia DR2 386277165192421120,1.566293,44.174549,32.457681,281.762514,49.310955,,3.157,14.795,,,True,0.0718,tails
Gaia DR2 393017579491591168,2.016287,47.275400,15.239260,144.879554,22.481259,,3.657,17.065,,,True,0.9995,tails
Gaia DR2 396026569162536448,2.220179,53.213304,10.471650,96.766549,12.982236,0.414,0.925,10.001,,,True,0.9999,tails
Gaia DR2 395368374014574848,3.240311,50.988313,29.241033,289.108526,36.292586,,3.350,14.808,,,True,0.9975,tails
Gaia DR2 385502112574538624,3.829755,43.743116,23.307976,220.582544,30.238143,,3.033,14.399,,,True,0.9994,tails
Gaia DR2 394413482520591744,4.297623,49.937837,14.385605,144.726572,17.052120,,3.353,16.681,,,True,0.9395,tails
Gaia DR2 394913657233538944,4.962062,50.735750,15.005889,141.932434,16.452242,,3.492,17.084,,,True,0.9995,tails
Gaia DR2 392484114490982656,5.499538,47.517851,13.517937,129.238875,15.075159,,2.620,14.134,,,True,0.9991,tails
Gaia DR2 421512870735439360,5.756030,56.115260,12.462232,116.225877,10.207642,,3.465,17.268,,,True,0.9996,tails
Gaia DR2 392544862508739456,5.807207,47.883265,13.841629,131.012703,13.081157,,-0.282,15.382,,,True,0.9996,tails
Gaia DR2 394745294513036800,5.923720,50.857061,20.020242,189.420810,16.271459,,3.284,15.779,,,True,0.9995,tails
Gaia DR2 421204423366457984,6.596341,55.497101,11.435139,106.607843,7.802685,,3.356,17.019,,,True,0.9994,tails
Gaia DR2 382167740483722112,6.717390,42.834134,24.999765,235.323663,22.002463,3.252,2.282,11.889,,,True,0.9999,tails
Gaia DR2 419566254119483648,6.782095,54.049033,16.343852,151.450970,12.350327,,3.011,15.210,,,True,0.9993,tails
Gaia DR2 428651243826003968,7.849807,60.468832,10.904047,100.948635,3.768447,,2.623,14.712,,,True,0.9976,tails
Gaia DR2 430120981632300672,8.467651,60.893897,11.009431,112.455092,4.758405,,2.432,14.660,,,True,0.1685,tails
Gaia DR2 418631085120675840,8.471582,55.762630,12.399111,116.225291,4.681161,,3.093,16.033,,,True,0.9989,tails
Gaia DR2 418630840300573824,8.522687,55.749626,15.713733,144.575123,7.484448,,3.532,16.938,,,True,0.9991,tails
Gaia DR2 381571564661202048,9.268099,42.410654,14.377866,136.715018,12.167107,5.002,2.220,12.156,,,True,0.9992,tails
Gaia DR2 368514898441866368,9.553994,38.842381,16.963190,163.413262,11.357956,,3.440,16.449,,,True,0.9995,tails
Gaia DR2 2779735823615714176,9.891259,14.905446,34.817774,331.607012,34.763871,,2.790,12.916,,,True,0.9996,tails
Gaia DR2 415147351243290112,12.740104,51.508035,14.636591,138.427390,0.299817,,0.387,6.308,,,True,0.9997,tails
Gaia DR2 378086525121240576,13.526294,46.815517,18.482678,174.465274,-1.621368,,2.495,14.844,,,True,0.9988,tails
Gaia DR2 2808766710160351872,13.701998,27.517737,36.368491,341.468203,14.309159,,3.036,13.477,,,True,0.9983,tails
Gaia DR2 311239929001364224,14.359532,29.543086,25.854019,245.587935,11.385024,,3.168,14.683,,,True,0.9997,tails
Gaia DR2 364509789898916352,14.785528,37.877661,22.072838,209.090979,7.717483,,3.029,14.402,,,True,0.9947,tails
Gaia DR2 362721124998424832,15.059002,34.068255,24.466569,227.574884,3.939059,,3.250,14.817,,,True,0.9991,tails
Gaia DR2 370746700888108032,15.329165,38.541726,26.569608,245.037967,2.101331,,2.739,13.227,,,True,0.9992,tails
Gaia DR2 363645779917808768,15.563568,36.861873,20.186936,183.778493,1.040798,,3.130,15.025,,,True,0.9969,tails
Gaia DR2 403382576824627840,17.713082,49.466273,20.083616,187.653849,-12.086744,,2.941,14.532,,,True,0.9996,tails
Gaia DR2 411601907281189504,17.777378,55.149816,24.847912,226.235193,-19.430855,,0.236,4.262,,,True,0.9990,tails
Gaia DR2 313665344278621696,17.888020,32.306849,18.973461,170.682930,2.528682,-15.220,1.540,10.616,,,True,0.0000,tails
Gaia DR2 2538451703458011264,18.199822,1.911176,48.085536,447.761546,49.342049,,2.926,12.665,,,True,0.9993,tails
Gaia DR2 307243925788826240,18.435260,27.626400,22.089325,206.400705,4.495168,,2.862,14.011,,,True,0.9997,tails
Gaia DR2 398417285391565440,18.954940,47.040476,21.307861,198.399963,-12.554957,,3.291,15.484,,,True,0.9996,tails
Gaia DR2 320067392465103872,19.072124,34.086128,25.213022,236.680704,-4.684961,,3.600,15.942,,,True,0.9996,tails
Gaia DR2 398400277321217408,19.245099,46.895663,16.591569,159.057433,-13.111969,,3.216,15.935,,,True,0.9969,tails
Gaia DR2 410312901693849856,19.608897,53.691499,16.084819,152.827058,-13.068914,,3.138,15.348,,,True,0.9941,tails
Gaia DR2 397900721085561984,19.671702,45.476308,20.227094,188.269074,-13.749417,,2.778,14.080,,,True,0.9996,tails
Gaia DR2 2590169844209007488,21.425910,13.656276,33.000195,316.481512,18.064760,,3.572,15.314,,,True,0.9987,tails
Gaia DR2 510204838754613632,21.456529,60.235074,34.428759,298.174949,-47.620733,,0.638,2.522,,,True,0.9845,tails
Gaia DR2 323180144243188736,21.773301,37.904191,24.012351,220.797971,-16.066132,,2.900,13.893,,,True,0.9989,tails
Gaia DR2 302952222668012032,23.581960,29.332508,31.469724,288.951169,-9.176626,,3.826,16.085,,,True,0.9997,tails
Gaia DR2 302988094234898688,24.075143,29.681753,26.228490,241.068113,-8.734283,,2.847,13.473,,,True,0.9997,tails
Gaia DR2 347155648121929472,24.281637,40.281337,25.640148,234.625960,-25.625838,,3.432,15.544,,,True,0.9995,tails
Gaia DR2 322736078984855424,24.453490,38.392096,25.102355,228.167180,-21.650027,,2.933,13.611,,,True,0.9996,tails
Gaia DR2 407155997651981824,24.760175,52.191464,17.166445,165.604010,-29.032461,,2.782,15.269,,,True,0.9594,tails
Gaia DR2 405354340472800640,25.565289,48.761666,35.793502,338.934712,-57.642738,,3.973,16.086,,,True,0.9970,tails
Gaia DR2 347471207961250048,26.522471,41.513548,24.502447,217.524855,-31.566692,,2.946,13.706,,,True,0.9990,tails
Gaia DR2 349575638856447872,26.955968,44.502411,19.074405,169.158896,-26.848272,,3.828,17.166,,,True,0.9995,tails
Gaia DR2 505743845203083136,27.223510,57.230193,18.827644,165.365931,-42.222324,,3.596,16.634,,,True,0.9960,tails
Gaia DR2 344323752846715520,27.314081,40.125714,26.378113,236.669152,-30.274401,,3.209,14.746,,,True,0.9995,tails
Gaia DR2 344323787206453376,27.315132,40.128792,26.438551,237.209365,-31.120864,,2.788,13.387,,,True,0.9996,tails
Gaia DR2 2511235633868627712,28.379954,1.799041,47.200229,420.284427,45.059614,,3.436,14.206,,,True,0.9992,tails
Gaia DR2 304483052091651200,28.414413,32.322819,23.907702,214.577974,-22.649051,,3.871,16.425,,,True,0.9994,tails
Gaia DR2 2512515156165604096,28.458090,3.222947,38.647316,341.880411,33.105070,,3.114,13.735,,,True,0.9986,tails
Gaia DR2 345680648977744896,29.690649,40.828745,45.147116,394.928345,-67.367700,,3.299,13.989,,,True,0.9995,tails
Gaia DR2 330803122782177024,30.599247,37.496138,27.425845,239.192178,-39.918351,,2.639,12.914,,,True,0.9994,tails
Gaia DR2 94546596851142400,30.871184,21.571252,40.406748,353.097182,-14.827688,,3.723,15.270,,,True,0.9996,tails
