  ID      HIP       RA       Dec       M/R      e_M/R      GR      C    GR+C   DRV_M02  DRV_M02_GR   DRV_M02_GR+C   DRV_G17  DRV_G17_GR   DRV_G17_GR+C       SpType    Vmag    (B-V)   e_(B-V)  RV_P98   eRV_P98   RV_M02  eRV_M02  RV_G17  eRV_G17  RV_HARPS   eRV_HARPS    FWHM     S/N   Flag      |r-rc|  e|r-rc|  V_alpha eV_alpha  V_delta  eV_delta       CR      RV_HARPS_GR+C   RV_G17_CR   DRV_G17_GR+C+CR
  25     22566   72.8470   15.4334    1.034     0.048     655    -617    38      618        -37           580         736        81            698             F8      7.90    0.527    0.008    42.92     0.19    41.85     0.6    41.73    0.17     42.4678     0.0025     15.2     126     0        15.10     1.31   18.970    0.323   -5.244    0.090        426        42.4295        42.16           272
  26     23069   74.4566   14.0021    1.110     0.060     703    -396    308     484       -219           177         595       -109           287             G5      8.89    0.737    0.001    43.68     0.16    42.48     0.6    42.37    0.17     42.9643     0.0009      7.6     100     0        10.45     0.80   18.037    0.251   -4.664    0.068        193        42.6568        42.56           94
  27     23498   75.7822   13.7306    1.116     0.063     708    -408    299     302       -405            3          417       -291           117             K0      9.00    0.765    0.002    43.51     0.19     42.9     0.6    42.79    0.17     43.2023     0.0012      8.9     93      0        10.26     0.75   16.694    0.253   -4.544    0.070        142        42.9031        42.93           -25
  28     23750   76.5752   17.8163    1.108     0.078     702    -438    264     215       -487           -49         324       -378           60              K0      8.82    0.730    0.015    42.31     0.18    42.67     0.6    42.56    0.17     42.8852     0.0012      9.4     101     0        10.35     0.86   16.268    0.246   -7.864    0.119        143        42.6213        42.70           -83
  29     24923   80.1062   11.6098    1.116     0.063     708    -410    297     406       -301           109         506       -201           209             K0      9.03    0.765    0.029    43.70     0.23    44.17     0.6    44.07    0.17     44.5765     0.0011      9.1     107     0        14.92     0.73   13.646    0.218   -3.556    0.059        226        44.2791        44.30           -17
  31     15300   49.3461   26.3148    1.016     0.077     644    -289    355    -719       -1362         -1074       -589       -1233         -944             M0     11.11    1.408    0.007    29.84     0.29    30.06    0.58    29.93    0.13     29.3413     0.0031      7.5     45      1        16.29     0.33   33.491    0.325   -8.819    0.092       -311        28.9863        29.62          -633
  32     15563   50.1226    8.4545    1.119     0.033     709    -236    473    -674       -1383         -1147       -532       -1241         -1005           K7V:     9.65    1.130    0.015    30.45     0.26    31.72    0.58    31.58    0.15     31.0463     0.0006      8.2     99      1        19.52     0.25   33.905    0.254    0.887    0.017       -508        30.5732        31.07          -497
  33     15720   50.6183   27.1558    1.003     0.080     636    -286    350    -645       -1281         -995        -516       -1152         -866             --     11.03    1.431    0.004    28.90     0.45     30.6    0.58    30.47    0.13     29.9547     0.0023      7.2     59      1        19.47     0.27   32.938    0.271   -9.616    0.082       -494        29.6048        29.98          -373
  35     17766   57.0502    7.1463    1.049     0.050     665    -243    422    -557       -1222         -980        -421       -1086         -843             M1     10.85    1.340    0.015    35.40     0.25    35.51    0.59    35.37    0.16     34.9527     0.0022      7.4     53      1        14.22     0.38   30.414    0.280    1.127    0.021       -411        34.5303        34.96          -432
  36     18018   57.7637   23.9035    1.112     0.087     705    -229    476    -118       -823          -593          4        -701          -471             K7     10.17    1.160    0.040    35.30     0.12    34.67    0.59    34.55    0.15     34.5523     0.0010      7.6     85      1        10.26     0.42   29.452    0.348   -9.288    0.111       -271        34.0768        34.28          -200
  37     18322   58.7566   12.4855    1.129     0.056     716    -236    480     -75       -791          -554         63        -652          -416             M0     10.12    1.070    0.015    37.18     0.22    36.32    0.59    36.18    0.16     36.2453     0.0008      8.1     89      1         7.37     0.45   28.505    0.318   -2.228    0.030       -118        35.7658        36.06          -298
  38     18946   60.9132   19.4549    1.126     0.079     713    -236    478    -663       -1377         -1141       -535       -1249         -1013            K5     10.12    1.095    0.119    36.93     0.26    36.76    0.59    36.63    0.15     36.0967     0.0008      7.8     107     1         5.20     0.19   27.761    0.353   -7.594    0.100        -50        35.6188        36.58          -963
  39     19082   61.3575   19.4420    1.046     0.118     663    -230    433     510       -153           77          637        -26           204             --     11.41    1.347    0.005    38.33     0.22    36.96    0.59    36.83    0.15     37.4701     0.0028      7.6     46      1         4.76     0.25   27.399    0.474   -7.328    0.131        -69        37.0375        36.76           274
  40     19207   61.7556   15.3349    1.107     0.056     702    -234    467     556       -146           89          689        -13           221             K5     10.49    1.180    0.015    38.95     0.23    37.56    0.59    37.43    0.16     38.1161     0.0016      8.1     64      1         4.61     0.57   26.401    0.331   -4.203    0.057       -160        37.6487        37.27           381
  41     19263   61.9305   16.5187    1.136     0.065     720    -260    460     473       -247           13          598       -122           138             K0      9.94    1.005    0.012    38.72     0.05    37.53    0.59    37.41    0.16     38.0033     0.0008      7.8     105     1         3.99     0.43   26.433    0.297   -5.390    0.065       -131        37.5431        37.27           268
  42     19316   62.1116   12.1918    1.055     0.144     669    -273    396     89        -579          -307         220       -449          -176             --     11.28    1.327    0.004    38.43     0.28    37.91    0.59    37.78    0.16     37.9994     0.0029      7.7     44      1         5.47     0.52   25.932    0.332   -2.361    0.042       -123        37.6034        37.66           -53
  43     19441   62.4563    9.3055    1.104     0.062     700    -231    469     126       -574          -343         262       -437          -206            K5V     10.10    1.192    0.011    39.24     0.16    38.15    0.59    38.01    0.16     38.2760     0.0009      7.7     98      1        12.79     0.39   26.129    0.236   -0.920    0.022       -474        37.8070        37.54           267
  44     19808   63.7169   13.0549    1.100     0.065     697    -231    466     461       -236           -5          590       -108           124             K5     10.69    1.204    0.008    40.51     0.15    38.58     0.6    38.45    0.16     39.0411     0.0020      7.7     52      1         4.13     1.14   25.346    0.716   -4.523    0.130       -123        38.5748        38.33           246
  45     19834   63.7939   14.3984    1.039     0.075     658    -351    307    -275       -934          -582        -144       -802          -451             K2     11.56    1.363    0.010    38.79     0.36    38.53     0.6    38.40    0.16     38.2546     0.0026      7.7     51      1         3.39     0.33   25.865    0.296   -4.141    0.068        -61        37.9475        38.34          -390
  46     19862   63.8909   15.7062    1.137     0.227     721    -286    434     150       -571          -284         273       -448          -161             M2     10.96    0.924    0.301    38.96     0.17    38.46     0.6    38.34    0.16     38.6097     0.0017      7.2     58      1         2.98     0.68   25.799    0.355   -4.966    0.075       -148        38.1755        38.19           -13
  47     20357   65.3954   14.4097    0.983     0.046     622    -522    101     -82       -704          -182         44        -579           -57            F5V      6.60    0.412    0.014    39.20     0.21     39.2     0.6    39.07    0.16     39.1183     0.0075     28.5     119     1         3.29     0.57   24.164    0.419   -4.436    0.077        -19        39.0176        39.06           -38
  48     20527   65.9772   14.0520    1.072     0.080     679    -236    443     263       -416          -180         384       -295           -59           K5.5Ve   10.89    1.288    0.002    40.64     0.26    39.46     0.6    39.34    0.16     39.7234     0.0019      7.4     55      1         4.45     0.55   23.575    0.252   -3.862    0.055       -228        39.2805        39.11           169
