# HIP - Hipparcos identifier
# TYC - Tycho-2 identifier
# source_id - Gaia DR1 identifier
# c - the c-value (chi-squared) of the star
# p - the p-value of the star corresponding to the c-value
# RV - radial velocity (in km/s)
# e_RV - radial velocity error (which have been inflated due to the zero-point differences)
# s_RV - the source of the radial velocity measurement
# Keys for radial velocity literature sources given in this
# column are the following: 1 - XHIP, 2 - RAVE, 3 - APOGEE,
# 4 - GALAH, 5 - Perryman et al. (1998), 6 - HADES, 7 - White et
# al. (2007), 8 - Mermilliod et al. (2009), 9 - Tabernero et al.
# (2012), 10 - Griffin (2012), 11 - Griffin (2013) and 12 -
# Debernardi et al. (2000).
# plx_mod - the kinematically modelled parallax for this star (if missing then the star was rejected during kinematic modelling)
# e_plx_mod - standard deviation of the modelled parallax


 HIP     TYC           source_id             c         p        RV       e_RV    s_RV   plx_mod   e_plx_mod
  20949   1837-270-1    151379146007107200    0.4351    0.9329   38.228   1.014   5      17.283    0.154
  21099   1273-428-1    144171228809559808    0.1953    0.9784   39.937   1.003   5      21.928    0.163
  21008   1273-583-1    144130512519598848    4.1397    0.2468   38.0     2.5     5      ""        ""
  19793   1815-517-1    149005266040519808    0.1579    0.9841   37.692   1.026   5      22.218    0.159
  10672   44-1162-1     2519811304873532160   11.2715   0.0103   26.8     1.05    5      ""        ""
  23312   106-892-1     3239389678968988288   0.5857    0.8997   42.61    1.077   5      19.489    0.18
  19441   666-35-1      3300315439330018304   0.2532    0.9686   38.364   1.013   5      27.958    0.183
  21152   90-33-1       3285426608781249408   0.0786    0.9943   40.2     1.0     5      23.428    0.22
  22177   88-1355-1     3281064262038614912   0.2186    0.9745   42.25    1.031   5      22.081    0.183
  19796   671-211-1     3300934223858467072   0.4524    0.9292   38.563   1.011   5      22.156    0.161
  19786   675-351-1     3304412597612195328   0.0902    0.993    38.802   1.01    5      21.142    0.165
  17766   71-1173-1     3277270534605393920   0.2579    0.9677   34.492   1.031   5      27.655    0.17
  20601   78-1147-1     3283823383388619008   5.0726    0.1666   41.448   1.007   5      ""        ""
  21053   1265-763-1    3312837021344678144   1.4866    0.6854   40.9     1.3     5      23.114    0.225
  20948   1269-557-1    3314212063714381056   0.0309    0.9986   38.896   1.028   5      21.723    0.187
  21317   1266-278-1    3312575681175439616   0.2149    0.9751   40.324   1.013   5      21.745    0.17
  21112   681-829-1     3307815001984777088   0.1197    0.9894   40.581   1.047   5      18.741    0.173
  21723   690-945-1     3307992332594320640   0.4567    0.9283   41.627   1.018   5      23.171    0.179
  20577   1269-1152-1   3313662892016181504   1.0854    0.7806   38.396   1.003   5      22.204    0.171
  21474   1266-1214-1   3309967055477808000   10.5019   0.0147   33.7     1.2     5      ""        ""
  20826   676-62-1      3306922954457367936   0.1292    0.9881   39.986   1.022   5      22.007    0.171
  20485   1264-902-1    3312025581763840512   0.1666    0.9828   38.405   1.022   5      24.435    0.197
  19316   674-79-1      3304337452864501120   0.2773    0.9642   37.512   1.038   5      21.458    0.164
  20850   680-423-1     3307844860597241088   0.1485    0.9854   40.173   1.003   5      20.872    0.162
  22203   1267-1102-1   3309006597711379328   0.5412    0.9097   41.815   1.226   5      20.988    0.185
  20284   680-27-1      3310615561179780736   0.6687    0.8805   39.2     1.044   5      20.35     0.185
  20527   680-889-1     3310820620098473728   0.3548    0.9494   39.731   1.033   5      23.018    0.169
  20815   1265-1048-1   3312709374919349248   0.02      0.9993   39.14    1.028   5      21.285    0.194
  18658   662-633-1     3302220274506270336   5.9628    0.1134   39.1     1.1     5      ""        ""
  19877   1251-128-1    3312136494998639872   0.6919    0.8751   36.4     1.2     5      21.594    0.205
  20082   1264-498-1    3312281664893305728   0.4306    0.9339   38.804   1.003   5      22.345    0.156
  20441   1264-758-1    3313845101709242368   6.3744    0.0947   35.2     2.6     5      ""        ""
  20567   1269-806-1    3313947699887831808   0.3651    0.9473   40.1     1.166   5      19.841    0.171
  20400   680-995-1     3311000115371733504   0.2694    0.9657   37.8     2.3     5      22.201    0.211
  20827   680-104-1     3310903736305456512   0.0428    0.9977   39.633   1.002   5      20.399    0.169
  28356   121-432-1     3315967537107175168   0.2489    0.9693   45.0     2.5     5      13.681    0.241
  20951   1269-697-1    3314213025787054592   0.1036    0.9914   39.944   1.002   5      22.077    0.168
  21066   673-700-1     3305871821341047808   0.6437    0.8864   41.489   1.033   5      21.382    0.197
  20762   680-639-1     3307645127438373888   0.1654    0.983    40.325   1.022   5      20.951    0.162
  20741   1265-241-1    3313689417734366720   0.1069    0.991    39.693   1.038   5      21.93     0.206
  21267   681-651-1     3307528029449757056   1.9167    0.5899   36.9     1.345   5      21.803    0.208
  21179   677-290-1     3307504218151520256   1.0298    0.7941   42.1     1.0     5      21.731    0.169
  20978   1265-883-1    3312951748510907648   0.2703    0.9655   40.193   1.002   5      22.194    0.173
  20661   1265-1171-1   3312783557591565440   0.0268    0.9988   39.1     1.118   5      21.34     0.212
  20492   680-194-1     3311148824319241472   0.6991    0.8734   39.509   1.002   5      21.493    0.163
  19781   679-597-1     3311514205777562496   0.7579    0.8595   38.592   1.002   5      20.043    0.159
  20357   680-994-1     3311024785663873920   0.3328    0.9538   39.864   1.022   5      20.314    0.179
  20563   1269-1212-1   3314079503847287424   0.1519    0.9849   39.081   1.013   5      21.865    0.195
  20899   1269-22-1     3314109912215994112   0.3841    0.9435   39.567   1.013   5      21.939    0.177
  19808   675-186-1     3310500078099136768   2.6535    0.4482   39.607   1.011   5      ""        ""
  24923   707-1553-1    3387381641964995712   0.0644    0.9957   44.1     1.026   5      18.117    0.216
  23069   696-390-1     3392446817156214784   0.2625    0.9669   42.935   1.013   5      18.352    0.179
  23498   697-1892-1    3391712034151625984   0.1951    0.9784   42.746   1.018   5      18.628    0.195
  22654   1288-32-1     3406943087694799744   0.2011    0.9774   41.994   1.031   5      19.84     0.164
  22524   1280-1207-1   3405220084257276416   0.4625    0.9271   42.649   1.014   5      20.275    0.201
  22422   1280-485-1    3405113740864365440   0.2536    0.9685   41.672   1.01    5      20.94     0.177
  22566   1280-1110-1   3404850785786832512   0.7098    0.8709   42.464   1.018   5      16.282    0.166
  22850   1288-1591-1   3408463506117452544   1.1041    0.7761   38.4     2.0     5      15.995    0.176
  21261   1274-1346-1   3410453484725565312   0.4132    0.9375   40.525   1.011   5      21.105    0.166
  22505   1280-662-1    3404812680839290368   0.4107    0.938    41.966   1.053   5      21.581    0.23
  22380   1284-1397-1   3406823240927024256   0.7062    0.8717   40.859   1.011   5      21.82     0.185
  24116   1290-502-1    3414082525931242368   2.23      0.5261   45.3     1.2     5      12.479    0.165
  23750   1286-2135-1   3407121827053483776   0.0938    0.9926   42.71    1.016   5      18.74     0.192
  24019   1853-1958-1   3422091368627963008   6.9387    0.0739   45.3     1.127   5      ""        ""
  22253   1831-1894-1   3413146910255989248   0.808     0.8476   40.877   1.026   5      18.498    0.169
  19554   80-1093-1     ""                    0.7935    0.851    36.6     1.2     5      26.654    0.248
  23701   110-1206-1    ""                    0.46      0.9276   42.06    1.013   5      19.99     0.935
  20751   672-425-1     ""                    1.7428    0.6275   40.296   1.02    5      23.173    0.41
  20745   676-389-1     ""                    2.3247    0.5078   40.484   1.016   5      25.107    0.675
  20419   676-680-1     ""                    1.4302    0.6985   39.915   1.02    5      21.725    0.487
  20901   677-1116-1    ""                    0.6249    0.8907   39.9     4.1     5      21.115    0.183
  20219   679-750-1     ""                    1.2621    0.7381   42.0     2.5     5      21.947    0.195
  21273   681-1151-1    ""                    1.9616    0.5804   37.7     1.345   5      ""        ""
  20873   681-1152-1    ""                    4.4515    0.2167   41.0     1.044   5      21.862    0.378
  21036   681-1153-1    ""                    0.2458    0.9699   38.8     1.2     5      22.19     0.209
  21670   682-1726-1    ""                    4.0693    0.2541   36.3     1.2     5      ""        ""
  22221   683-688-1     ""                    12.8023   0.0051   42.419   1.006   5      ""        ""
  22044   687-1627-1    ""                    0.9268    0.819    39.6     1.118   5      ""        ""
  22550   688-43-1      ""                    0.7089    0.8711   42.846   1.014   5      21.397    0.392
  21589   690-1547-1    ""                    0.968     0.809    44.7     5.0     5      22.25     0.265
