,id,hip,ra,dec,m/r,e_m/r,gr,c,gr+c,drv_m02,drv_m02_gr,drv_m02_gr+c,drv_g17,drv_g17_gr,drv_g17_gr+c,sptype,vmag,(b-v),e_(b-v),rv_p98,erv_p98,rv_m02,erv_m02,rv_g17,erv_g17,rv_harps,erv_harps,fwhm,s/n,flag,|r-rc|,e|r-rc|,v_alpha,ev_alpha,v_delta,ev_delta,cr,rv_harps_gr+c,rv_g17_cr,drv_g17_gr+c+cr,gaia_source_id,gaia_ra,gaia_dec,radial_velocity,radial_velocity_error,radial_velocity_source,parallax_gaia,parallax_gaia_error,pmra_gaia,pmdec_gaia,pmra_gaia_error,pmdec_gaia_error,pmra_pmdec_gaia,pmra_hg,pmdec_hg,pmra_hg_error,pmdec_hg_error,pmra_pmdec_hg,pmra_hip,pmdec_hip,pmra_hip_error,pmdec_hip_error,pmra_pmdec_hip,epoch_ra_gaia,epoch_dec_gaia,epoch_ra_hip,epoch_dec_hip,crosscal_pmra_hip,crosscal_pmdec_hip,crosscal_pmra_hg,crosscal_pmdec_hg,nonlinear_dpmra,nonlinear_dpmdec
10,14,20557,66.0613,21.7361,1.03,0.040999999999999995,652,-602,51,-316,-969,-367,-196,-849,-247,F8V,7.13,0.518,0.013999999999999999,38.94,0.13,38.59,0.6,38.47,0.16,38.2739,0.0038,17.2,102,0,5.41,0.49,23.819,0.328,-9.294,0.128,-230,38.2231,38.24,-17,145373377272257664,66.06127599459201,21.736045837038468,38.336655,0.15721348,b'Gaia_DR2',23.107828,0.038553182,117.530975,-45.805935,0.1663188,0.12582576,0.4296862,117.35542,-45.88259,0.03569228,0.021723244,0.23440126,118.19485,-46.229736,1.1982715,0.7690487,0.034244187,2015.7304762235701,2015.7154438739303,1991.5200139098356,1991.1843428527432,-0.31418416,0.11754219,0.018801102,-0.07367581,-0.0026994166,0.00069167075
11,16,20826,66.9424,11.7364,1.047,0.039,663,-615,48,-296,-960,-345,-171,-834,-219,F8,7.49,0.56,0.006999999999999999,40.22,0.21,39.99,0.6,39.86,0.17,39.6935,0.002,13.6,127,0,4.34,0.30,24.105,0.274,-2.733,0.032,-116,39.6453,39.75,-103,3306922958753764992,66.94246373260984,11.736365175947268,39.09252,0.1753567,b'Gaia_DR2',22.023048,0.037954424,110.08489,-12.426956,0.123164795,0.082479715,0.065201476,110.0017,-12.524463,0.03526855,0.021843264,0.2828849,110.1964,-11.553879,1.1598486,0.82321846,0.35109827,2015.5733877587813,2015.5898507794184,1991.3323337400293,1991.0802695959128,-0.3661392,-0.004067154,-0.017396765,-0.056932535,-0.0023649205,0.00011963961
12,17,20850,67.0189,13.8679,1.13,0.055999999999999994,716,-345,371,404,-312,33,523,-193,152,K0V,9.02,0.8390000000000001,0.006999999999999999,40.94,0.08,39.89,0.6,39.77,0.16,40.2936,0.0009,8.0,98,0,2.86,0.23,23.240,0.265,-4.312,0.052,-56,39.9226,39.71,208,3307844864893938304,67.01892873015353,13.867855845042314,40.37883,0.18419367,b'Gaia_DR2',20.76172,0.06538955,102.17749,-19.142164,0.31394428,0.13512175,-0.40809488,102.371796,-19.070488,0.055353727,0.02901829,0.23743743,106.545044,-16.927525,1.7435915,1.0585485,0.020459639,2015.5760428407384,2015.679360967814,1991.083998210679,1991.0048333610398,-0.017764919,0.44764706,-0.0038022145,-0.065343834,-0.0021782203,0.00024727892
13,18,20889,67.1539,19.1805,0.22,0.013000000000000001,137,-562,-425,-955,-1092,-530,-838,-975,-413,K0III,3.53,1.014,0.006,39.37,0.06,39.39,0.6,39.27,0.16,38.4354,0.0004,9.0,199,0,--,--,--,--,--,--,-68,38.8603,39.21,-345,48026706557926528,67.15466225417725,19.180276642566486,38.43,0.08,b'XHIP',20.312962,0.426069,107.50304,-38.066074,1.757597,1.1880567,-0.05223322,107.79907,-36.14376,0.031227583,0.022579247,0.21524952,106.55558,-36.94932,0.7064539,0.5778399,0.47117156,2015.6569774494137,2015.6451703647458,1991.2504703094796,1991.1032669337255,0.1552636,0.57347316,0.020855218,-0.0747981,-0.0021800068,0.00046629398
14,19,20949,67.3786,26.6713,1.117,0.051,708,-392,315,577,-131,262,689,-18,374,G5,9.19,0.7659999999999999,0.002,39.02,0.17,38.12,0.59,38.01,0.15,38.6972,0.0011,7.5,76,0,13.27,1.46,22.297,0.514,-13.055,0.301,252,38.3817,38.26,122,151379150300399360,67.37859594442753,26.67133560031893,39.002033,0.37322402,b'Gaia_DR2',17.156523,0.06305973,82.80699,-48.28471,0.2898388,0.15076417,-0.2231979,82.81502,-48.56001,0.0469281,0.033573397,0.29843378,81.429955,-48.465176,1.470032,1.079986,0.19801864,2015.737161313151,2015.8154558656133,1991.2174876547192,1990.9873640675878,0.03501432,0.2699581,0.03496068,-0.06838633,-0.0015088299,0.0006167141
15,20,20978,67.491,16.6727,1.133,0.038,718,-313,406,461,-257,55,584,-134,179,K1V,9.08,0.865,0.013000000000000001,40.97,0.06,39.83,0.6,39.71,0.16,40.2908,0.0017,8.6,59,0,2.13,0.59,22.631,0.258,-5.991,0.070,-170,39.8852,39.54,349,3312951748510907648,67.49101608543475,16.67271792634278,40.13887,0.22677344,b'Gaia_DR2',21.897009,0.039147932,106.624695,-28.406647,0.13933402,0.08820567,-0.004182773,106.83578,-28.36261,0.047343485,0.030467236,0.11820151,105.5272,-28.102032,1.4261777,1.0043592,0.070488214,2015.597151403671,2015.5859091687491,1991.1623423298909,1991.0591250233203,-0.11076166,0.25753832,0.01117007,-0.070195034,-0.0023998374,0.00042053364
16,21,21099,67.8159,20.133,1.109,0.064,703,-413,290,321,-382,30,442,-261,151,G8V,8.59,0.7340000000000001,0.013999999999999999,40.62,0.08,39.51,0.6,39.39,0.16,39.8309,0.0009,8.4,109,0,2.70,0.19,23.244,0.252,-8.575,0.094,-120,39.5405,39.27,271,144171233106399104,67.81588525260094,20.132998153769584,39.764793,0.15170254,b'Gaia_DR2',21.619135,0.046591133,106.435905,-39.3245,0.17239597,0.107262045,0.11952077,106.53462,-39.302784,0.048954614,0.02995168,0.25147143,99.94963,-43.06945,1.5894574,1.079741,0.29733866,2015.6399495723717,2015.6719115465348,1991.5362814126684,1991.2804417104312,-0.3194524,0.22635907,0.022612484,-0.07247478,-0.0023466449,0.00059535855
17,22,21741,70.0247,23.3044,1.125,0.059000000000000004,713,-391,322,486,-227,164,599,-115,277,K0V,9.4,0.8109999999999999,0.0,41.34,0.16,39.75,0.6,39.64,0.16,40.2362,0.0013,8.9,84,0,13.91,1.04,21.206,0.286,-10.789,0.146,345,39.9141,39.98,-69,146698078328904064,70.02470714164066,23.304377648137542,39.86046,0.5348818,b'Gaia_DR2',16.658764,0.046183303,75.68363,-38.355057,0.16141178,0.09118347,-0.16006894,75.688446,-38.593105,0.049203217,0.032458335,0.24421386,73.63826,-39.299534,1.4808644,1.0035715,0.3395958,2015.7259153071814,2015.7555524956624,1991.3091467563904,1991.1929473605464,-0.2417199,0.1225008,0.041115113,-0.072124705,-0.0013286113,0.00049576134
18,23,22380,72.2651,18.6411,1.129,0.043,716,-355,360,496,-220,136,608,-108,247,F5,8.98,0.833,0.003,41.62,0.15,41.27,0.6,41.16,0.17,41.766,0.001,8.4,95,0,4.73,0.22,18.475,0.219,-8.153,0.098,-173,41.4057,40.99,421,3406823245223942528,72.26508376145367,18.641073876614985,41.625237,0.13193358,b'Gaia_DR2',21.867182,0.042076703,89.201164,-39.093456,0.13556401,0.07899314,-0.10131404,87.03595,-38.536343,0.048174486,0.03770491,0.39383546,82.436646,-40.306274,1.520813,1.3225696,0.6600437,2015.6786020191216,2015.9665517354263,1991.078260984211,1990.7962641556267,-0.33160633,-0.19767818,0.022151463,-0.054690402,-0.00205995,0.0007457952
19,24,22422,72.3842,15.8886,1.054,0.053,668,-623,45,-127,-795,-172,-11,-680,-56,F8,7.72,0.578,0.009000000000000001,42.04,0.14,41.65,0.6,41.53,0.17,41.523,0.0015,9.6,96,0,4.63,0.34,19.695,0.227,-5.790,0.068,-58,41.4782,41.48,2,3405113740864365440,72.38424596671265,15.88863002704543,41.368366,0.13918477,b'Gaia_DR2',20.587385,0.05544416,86.73039,-25.497717,0.13910104,0.087868616,-0.11762198,86.7293,-25.58178,0.030859254,0.022417067,0.249658,86.32277,-24.398579,0.9400147,0.7484598,0.50471646,2015.6470816438948,2015.9377261056459,1991.2186779398914,1990.986701592694,-0.41552588,-0.23485638,0.010936806,-0.05438438,-0.0018823922,0.00042528953
20,25,22566,72.847,15.4334,1.034,0.048,655,-617,38,618,-37,580,736,81,698,F8,7.9,0.527,0.008,42.92,0.19,41.85,0.6,41.73,0.17,42.4678,0.0025,15.2,126,0,15.10,1.31,18.970,0.323,-5.244,0.090,426,42.4295,42.16,272,3404850790082434176,72.84702802662211,15.433384045414604,42.326366,0.15806197,b'Gaia_DR2',16.215897,0.057705462,65.83888,-18.291103,0.19378266,0.09970453,-0.46649963,65.832886,-18.249826,0.03373543,0.02259471,0.30024117,67.40122,-17.23044,0.9888464,0.7150066,0.50563544,2015.7699123112034,2015.9606451496402,1991.3788510262693,1991.1670219929638,-0.4272183,-0.31085476,0.010020247,-0.05341166,-0.0011464843,0.0002447877
